#{"t_start": 1780062163.6849408, "env_id": "None"}
r,l,t
1749.074331,300,2459.932074
1915.981531,300,2464.008723
1573.060506,300,2467.896669
1124.67567,300,2471.89981
1176.99276,300,2475.890756
1763.250041,300,2479.80358
1123.137296,300,2483.797125
1808.022191,300,2487.560545
1959.371918,300,2491.645608
1575.935358,300,2495.719446
1900.856232,300,2499.81973
1128.645296,300,2503.833014
1759.34674,300,2507.694267
1336.284892,300,2511.662212
1168.060355,300,2515.686997
1754.535573,300,2519.701808
2260.322151,300,2523.690048
1996.367044,300,2527.55251
1628.681092,300,2531.412951
2078.915681,300,2534.718731
1211.17864,300,2538.621384
1829.411726,300,2542.572709
1872.731409,300,2546.443642
2034.096611,300,2550.552033
1774.57866,300,2554.537177
1192.826255,300,2558.274427
1440.601845,300,2562.110408
1480.959312,300,2564.988529
1068.503626,300,2568.800028
1062.011213,300,2572.891246
1057.493501,300,2577.141526
1341.737196,300,2581.607832
2147.134687,300,2585.622772
2008.436842,300,2589.648623
1549.647121,300,2593.721975
1370.42025,300,2597.841369
1340.788494,300,2601.870606
1475.591216,300,2605.691998
1189.008945,300,2609.436495
1864.76155,300,2613.377606
1923.621559,300,2617.347772
1581.428054,300,2621.490418
1698.469668,300,2625.452803
